loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,is_default,grade_encoded,emp_length_num,fico_score,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_other,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,term_ 60 months
20795,20795, 60 months,17.44,745.96,F,F1,5 years,RENT,66206.57262555452,Source Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,37.99137112040119,0,625,629,14,0,42214,56.7,20,w,Individual,0,0.0,1,6,5,627.0,False,False,True,False,False,False,True,True,False,True
5860,5860, 36 months,13.58,199.09,G,G5,5 years,RENT,65214.98085905353,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,17.953201874739595,0,640,644,22,0,33476,69.3,25,f,Individual,1,0.0,1,7,5,642.0,True,False,False,False,False,False,True,True,False,False
16284,16284, 36 months,11.05,533.5,B,B2,9 years,RENT,47219.98223342913,Source Verified,Charged Off,credit_card,25.20605595531408,0,643,647,4,0,7988,92.9,11,w,Individual,1,0.0,1,2,9,645.0,False,False,False,False,False,False,True,True,False,False
11265,11265, 36 months,14.96,390.28,G,G3,6 years,RENT,203726.5551655104,Verified,Fully Paid,home_improvement,36.111043954967656,0,684,688,5,0,9475,6.0,14,f,Individual,0,0.0,0,7,6,686.0,False,True,False,False,False,False,True,False,True,False
21850,21850, 36 months,5.48,659.58,B,B3,4 years,MORTGAGE,127318.0572531891,Not Verified,Fully Paid,home_improvement,22.31253966839922,0,621,625,6,1,24293,64.8,19,f,Individual,2,0.0,0,2,4,623.0,False,True,False,False,True,False,False,False,False,False
26962,26962, 60 months,24.31,1062.19,B,B4,5 years,RENT,48567.573959989255,Verified,Fully Paid,other,25.97071689805473,0,709,713,8,0,49405,76.4,19,f,Individual,0,0.0,0,2,5,711.0,False,False,False,True,False,False,True,False,True,True
21023,21023, 60 months,9.27,671.17,A,A5,8 years,MORTGAGE,59173.12477879073,Not Verified,Fully Paid,home_improvement,26.11350007144816,0,636,640,14,1,23997,62.5,33,f,Individual,2,0.0,0,1,8,638.0,False,True,False,False,True,False,False,False,False,True
6685,6685, 36 months,6.1,203.67,B,B5,< 1 year,RENT,76698.62973568354,Verified,Fully Paid,home_improvement,27.723923871234614,0,717,721,22,0,4239,29.6,30,w,Individual,0,0.0,0,2,0,719.0,False,True,False,False,False,False,True,False,True,False
5769,5769, 60 months,21.34,218.36,D,D1,,MORTGAGE,100073.89856012056,Verified,Charged Off,debt_consolidation,25.14251256916737,0,700,704,10,0,4274,79.0,20,w,Individual,4,0.0,1,4,0,702.0,True,False,False,False,True,False,False,False,True,True
7433,7433, 60 months,24.35,292.99,E,E5,6 years,OWN,76199.08192654856,Not Verified,Does not meet the credit policy. Status:Charged Off,credit_card,19.208047802675047,0,741,745,19,0,47983,87.2,30,f,Individual,1,1.0,1,5,6,743.0,False,False,False,False,False,True,False,False,False,True
