,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,HINDUNILVR.NS,ITC.NS,KOTAKBANK.NS
2018-01-01,2487.963891612252,1702.840815799001,1196.5466558548485,1688.0140321516926,1889.443325187931,1490.8078172495432,1514.1800796068292,1506.0147170459936
2018-01-02,2501.7756105373933,1715.3746049062102,1208.9169246667025,1695.4469843780314,1844.6581480239588,1497.0105530454196,1520.345359273,1541.1183989497943
2018-01-03,2465.9023749177763,1724.8667879697446,1234.4397273644931,1725.282514122539,1852.7603661396192,1479.158705811523,1502.1037517261782,1545.4253271649413
2018-01-04,2472.509041133041,1689.9710854082311,1237.1903440053402,1735.6272406729208,1853.916174731776,1481.0572397781534,1509.790989376497,1524.1875587397074
2018-01-05,2498.3662959545663,1718.9528487791645,1237.8969340029666,1701.4079711970471,1818.9318129447663,1494.913841827741,1500.6744612616685,1534.8448591162764
2018-01-08,2476.990201523356,1678.1123002400568,1258.3150173715887,1687.1100300939988,1810.1333882137285,1516.7167182106743,1499.0409591771477,1530.8141168117168
2018-01-09,2444.7545237774184,1668.692906816335,1274.5536712825597,1684.116266297347,1805.911485761054,1543.5744813644942,1464.748812550826,1541.282159182421
2018-01-10,2452.4904225167184,1692.093047791962,1278.2503277190478,1652.0870046404675,1815.237891494027,1551.4819005941436,1511.1995327097302,1556.5412596597782
2018-01-11,2380.27049364054,1739.1991422301874,1266.3014405273454,1629.8095080843682,1785.337746150872,1608.9998043055746,1493.3825640414004,1596.1745730124005
2018-01-12,2348.3596692609244,1745.6883717894748,1280.772551449539,1653.451362853882,1745.928279907522,1621.9679196092884,1522.5265906930374,1597.90536300223
2018-01-15,2364.284796164091,1758.4286390113618,1278.0410045583826,1673.4669782248238,1731.0751199994204,1609.3193978407116,1549.2933962577745,1596.9828590656512
2018-01-16,2433.406354459916,1759.0469653040768,1279.3221429000769,1697.463073349972,1736.6997562700624,1601.389077478443,1544.1985692165945,1575.8065483011487
2018-01-17,2458.621079745863,1815.9478493444665,1281.8015730801078,1702.7610357199678,1755.200242195331,1572.146977370924,1561.3820632598008,1589.7190799607206
2018-01-18,2442.790798904834,1777.666501105132,1278.6678578332533,1692.716889363042,1747.063230118459,1577.094986242313,1530.601240809859,1581.5375441725841
2018-01-19,2362.00591885463,1760.436503750429,1289.4009552710188,1684.956019355112,1765.7544932588298,1550.5974707511111,1569.7527789365781,1583.0982559682109
2018-01-22,2387.1520889072517,1755.297603893609,1311.2332456546162,1690.6124617812509,1770.4569458178694,1529.2398564600824,1535.2657960353538,1596.448742215817
2018-01-23,2406.9837856718736,1773.7439198607487,1315.056165307362,1737.3335006782604,1743.4828228828246,1548.6156736845733,1515.0790301504433,1610.6937521319958
2018-01-24,2355.654144582896,1791.7379621715463,1309.815685356455,1722.7632307845925,1801.4335496264907,1598.8103750612295,1500.9552053243244,1563.0292352252393
2018-01-25,2337.1531622432635,1780.161335724628,1276.638420717371,1773.2949222225834,1811.7144620779973,1578.3932659202203,1531.7396082873715,1522.2012943094708
2018-01-26,2321.745924210802,1780.6883303672842,1279.9591980405507,1785.4995144202694,1828.486752026354,1577.2344535147956,1544.91268458316,1547.6857715234264
2018-01-29,2433.9989705803564,1789.6315494734345,1288.2028431640158,1814.0091506834417,1790.193251036815,1552.9852461444443,1503.5839254786579,1502.9538156106041
2018-01-30,2377.275512562686,1769.9767851080064,1300.4127642680278,1813.0641396869307,1770.403201278702,1571.914196386943,1488.9487446733688,1518.1584101011101
2018-01-31,2416.521229504376,1754.2484961148093,1302.7450059095008,1797.6146701568614,1725.2903732158652,1557.9226258849433,1440.5212790973708,1515.6811326842985
2018-02-01,2426.549479411833,1735.2443005537557,1336.8009354554904,1798.5444775144022,1741.3400798262312,1496.1258524860366,1484.5123786517868,1527.886498750906
