company,cik,form,date,accession
Apple,0000320193,10-Q,2026-05-01,0000320193-26-000013
Apple,0000320193,10-Q,2026-01-30,0000320193-26-000006
Apple,0000320193,10-K,2025-10-31,0000320193-25-000079
Apple,0000320193,10-Q,2025-08-01,0000320193-25-000073
Apple,0000320193,10-Q,2025-05-02,0000320193-25-000057
Microsoft,0000789019,10-Q,2026-04-29,0001193125-26-191507
Microsoft,0000789019,10-Q,2026-01-28,0001193125-26-027207
Microsoft,0000789019,10-Q,2025-10-29,0001193125-25-256321
Microsoft,0000789019,10-K,2025-07-30,0000950170-25-100235
Microsoft,0000789019,10-Q,2025-04-30,0000950170-25-061046
NVIDIA,0001045810,10-Q,2026-05-20,0001045810-26-000052
NVIDIA,0001045810,10-K,2026-02-25,0001045810-26-000021
NVIDIA,0001045810,10-Q,2025-11-19,0001045810-25-000230
NVIDIA,0001045810,10-Q,2025-08-27,0001045810-25-000209
NVIDIA,0001045810,10-Q,2025-05-28,0001045810-25-000116
JPMorgan,0000019617,10-Q,2026-05-01,0001628280-26-029344
JPMorgan,0000019617,10-K,2026-02-13,0001628280-26-008131
JPMorgan,0000019617,10-Q,2025-11-04,0001628280-25-048859
JPMorgan,0000019617,10-Q,2025-08-05,0000019617-25-000615
Goldman,0000886982,10-Q,2026-05-01,0000886982-26-000118
Goldman,0000886982,10-K,2026-02-25,0000886982-26-000091
Goldman,0000886982,10-Q,2025-10-31,0000886982-25-001411
Goldman,0000886982,10-Q,2025-08-01,0000886982-25-000022
